bangla_speech,sylhet_bangla_speech,zero,,few,COT,context
তোমার আব্বু কেমন আছে?,তোমার আব্বা বালা আছইন নি?,তোয়ার বাবা কেন্না আছেন?,,তোয়ার আব্বু কেমন আছেন?,তোয়ার বাবা কেন্না আছেন?,তুমার আব্বা কিলা আসইন?
আমার বড় বোনের আজকে মন ভালো নেই,আমার বড় বইনর আইজ মন ভালা নায়,মোর বড় বায়নের আজ কাল মন ভাল নাই,,মোর বড় বাইনের আইজকু মন ভালা নায়,আমaar বড় বয়নের আজিক মন ভালা নাই।,মোর বড় বইনর আইজকু মন ভালা নায়।
তুমি কি আমাকে এই কাজটি করে দিতে পারবে?,তুমি কিতা মোরে এই কাজটা করাই দিতা পারবা নি?,তুঁই কি মোরে এ কাজটা করিয়া দিতে পারবি?,,তুমি কি মোর লগে অই কামটা কইরা দিতে পারবি?,তুঁই আমারে এই কাজটা করিয়া দিতে পারবি?,তুমি আমারে অউ কামটা খরিয়া দিতাম পারবায় নি?
এই গরমে বাহিরে বের হতে ইচ্ছা করে না,এই গরমো বাইরে বাইর অইতে জানে কয় না,এ গরমে বাইরে বের হون্তে ইচ্ছা হয় না,,অই গরমো বাইরে বের হون্তা ইচ্ছা যায় না,এই গরমে বাইরে বের হون্তে ইচ্ছা করে না।,অউ গরমো বারে বের অইতে ইচ্ছা খরে না।
তোমার সব কথাই ভুল,তোমার সব মাত ভুল,তোয়ার সব কথাই ভুল,,তোয়ার হারা কথাই ভুল,তোয়ার সব কথা ভুল।,তুমার হখল মাতই ভুল।
তোমার মত খারাপ ছেলে আমি আর একটাও দেখিনি,তোমার মত খারাফ পুয়া মুই আর একটাও দেখছি না,তোয়ার মতন খারাপ ছাইললা মো আর একটাও দেইখু নাই,,তোয়ার মতন খারাপ ফুয়া আমি আর এখটাও দেইখিনি,তোয়ার মতন খারাপ ছাইল আমি আর একটাও দেখিনি।,তুমার লাখান খারাপ ফুয়া মুই আর এখটাউ দেখছি না।
বিয়ের জন্য আম্মা আমার জন্য ছেলে খুজতাসে,বিয়ার লাগি মাই মুর লাগি ফুয়া খুজিরা,বিয়ের লাইগা আম্মা মোর লাইগা ছাইললা খুঁজতাছে,,বিয়ের লাইগা আম্মা মোর লাইগা ফুয়া খুজতাসে,বিয়ের লাইগা আম্মা আমaar লাইগা ছাইল খুঁজতাছে।,বিয়ার লাগি আম্মায় মোর লাগি ফুয়া খুজতার।
আব্বা আমাকে গতকাল একটা ছেলের সাথে দেখা করতে বলেছিল,আব্বা মোরে গতকাল এক ফুয়ার লগে দেখা করতে কইছলা,বাবা মোরে গতকাল এক ছাইলর সাতে দেখা কুর্তে বলছিল,,আব্বা মোরে গতকাল এখটা ফুয়ার লগে দেখা করাত বুলছিল,আব্বা আমারে গতকাল একট্টা ছাইলের লগে দেখা করতে বলছিল।,আব্বা আমারে গতকাইল এখটা ফুয়ার লগে দেখা করাত কইছলা।
ছেলেটিকে আমার একদমই ভালো লাগেনি,ফুয়াটারে মোর একদমই ভালা লাগে নাই,ছাইলট্টা মোর একदमই ভাল লাগে নাই,,ফুয়াটায় মোর একদমই ভালা লাগের নাই,ছাইলট্টা আমaar একদমই ভালা লাগে নাই।,ফুয়াটারে মোর এখেবারেউ ভালা লাগের না।
মেয়েটি গোলাপি রঙের শাড়ি পরে এসেছিল,ফুরিটা গোলাপি রঙের শাড়ি পরিয়া আইছিল,ছোড়ীটা গুলাপি রঙর শাড়ি পরা আসছিল,,ফুইড়্টা/হিনট্টা গোলাপি রংগর শাড়ি পিন্দিয়া আইছিল।,মেইয়ট্টা গোলাপি রঙের শাড়ি পরে আসছিল।,ফুড়িটায় গোলাপি রংগর শাড়ি পিন্দিয়া আইছিল।
আমার দুইদিন পরে বিয়ে হবে,আমার দুইদিন ফরে বিয়া অইবো,মোর দুইদিন পরে বাইর হব,,মোর দুইদিন পরে বিয়া হব।,আমaar দুইদিন পরে বিয়া হব।,মোর দুইদিন বাদে বিয়া অইবো।
ছেলেটি এখন আর বিকালে খেলতে বের হয় না,ফুয়াটা এখন আর বিকালে খেলাত বারয় না,ছাইলটা হুন আর বেলানে খেইল্তে বাইর হয় না,,ফুয়াটা ইবের আর বেলেনা খেইল্তা বের হয় না।,ছাইলট্টা এখন আর বেলাখে খেলতে বের হয় না।,ফুয়াটায় এখন আর বেলাফুরার খেলাত বের অয় না।
মেয়েটি সকালে ঘুম থেকে উঠেই পরতে বসে,ফুরিটা সকালে ঘুম থাকি উঠেই ফরাত বয়,ছোড়ীটা সকালে ঘুম ভাইটা উঠেই পইর্তে বসে,,ফুইড়্টা/হিনট্টা সকালে ঘুম হ্তে উট্তাই পর্দা বসে।,মেইয়ট্টা সকালে ঘুম থেকে উঠেই পরতে বসে।,ফুড়িটায় সকালে ঘুম থাকি উট্টেই পড়াত বইয়া পড়ে।
আমার চাচা বিদেশ থেকে গতকাল বাংলাদেশে এসেছে,আমার চাচা বিদেশ থাকি গতকাল বাংলাদেশে আইছে,মোর চাচা বিদেশ থাইক্যা গতকাল বাংলাদেশে আসছে,,মোর চাচা বিদেশ হ্তে গতকাল বাংলাদেশে আইছে।,আমaar চাচা বিদেশ থেকে গতকাল বাংলাদেশে আসছে।,মোর চাচা বিদেশ থাকি গতকাইল বাংলাদেশে আইছে।
আমার বাসার দারওয়ান অনেক ভালো মানুষ,আমার বাসার দারওয়ান অনেক ভালা মানুষ,মোর বাসার দারবান অনেক ভাল মানষ,,মোর বাড়ির দারওয়ান বহুত ভালা মানষ।,আমaar বাসার দারওয়ান অনেক ভালা মানুষ।,মোর বাসার দারোয়ান বাক্কা ভালা মানুষ।
আমার বন্ধু খুলনা ঘুরতে গিয়েছে,আমার বন্ধু খুলনা বেরানিত গেছইন,মোর বন্ধু খুলনা ঘুড়তে গেছে,,মোর বন্ধু খুলনা ঘুর্দা গেসে।,আমaar বন্ধু খুলনা ঘুরতে গিসে।,মোর বন্ধু খুলনা ঘুরাত গেছে।
আমার ঘুরতে অনেক ভালো লাগে,আমার বেরাইতে অনেক ভালা লাগে,মোর ঘুড়তে অনেক ভাল লাগে,,মোর ঘুর্দা বহুত ভালা লাগে।,আমaar ঘুরতে অনেক ভালা লাগে।,মোর ঘুরাত বাক্কা ভালা লাগে।
আমি বিদেশে গিয়ে অনেক ঘুরতে চাই,মুই বিদেশে গিয়া অনেক বেরাইতে চাই,মুই বিদেশে গিয়া অনেক ঘুড়তে সাই,,আমি বিদেশে গিয়া বহুত ঘুর্দা চাই।,আমি বিদেশে গিয়া অনেক ঘুরতে চাই।,মুই বিদেশে গিয়া বাক্কা ঘুরাত চাই।
তুমি আমাকে বিরক্ত করো না,তুমি মোরে বিরক্ত করবা না,তুঁই মোরে বিরক্ত কিরো না,,তুমি মোরে বিরক্ত খরো না।,তুঁই আমারে বিরক্ত করো না।,তুমি আমারে বিরক্ত খরো না।
তিনি আমাকে অনেক অপমান করেছে,তাইন মোরে অনেক অপমান করছইন,তিনি মোরে অনেক অপমান করছে,,হিন মোরে বহুত অপমান করেসে।,তিনি আমারে অনেক অপমান করছে।,তাইন আমারে বাক্কা অপমান খরছে।
আমার সকালে উঠে বই পরতে অনেক ভালো লাগে,মোর সকালে উঠিয়া বই পরতে অনেক ভালা লাগে,মোর সকালে উঠ্যা বই পড়্তে অনেক ভাল লাগে,,মোর সকালে উট্টা বই পড়্তা বহুত ভালা লাগে।,আমaar সকালে উঠা বই পড়তে অনেক ভালা লাগে।,মোর সকালে উট্ট্যা বই পড়াত বাক্কা ভালা লাগে।
আমার ছোট ভাই একদমই পড়ালেখা করতে চায় না,মোর ছোট ভাই একদমই পড়ালেখা করতে চাইন না,মোর ছোট ভাই একদমই পড়ালেখা কুর্তে সায় না,,মোর छोट भाई एकदमइ पढ়াইলিখা কর্তা চায় না।,আমaar ছুট ভাই একদমই পড়ালেখা করতে চায় না।,মোর ছুটো ভাই এখেবারেউ পড়ালেখা খরতে চায় না।
আমার ছোট ভাই বিদ্যালয়ে যেতে চায় না,মোর ছোট ভাই বিদ্যালয় যাইতে চায় না,মোর ছোট ভাই ইস্কুলে যেতে সায় না,,মোর छोट भाई স্কুলে/ইস্কুলে যান্তা চায় না।,আমaar ছুট ভাই স্কুলে যেতে চায় না।,মোর ছুটো ভাই ইস্কুলো যাইতে চায় না।
আমার ছোট ভাইয়ের বিদ্যালয়ে গিয়ে পড়ালেখা করতে ভাল লাগে না,মোর ছোট ভাইয়র বিদ্যালয়ে গিয়া পড়ালেখা করতে ভালা লাগে নানি,মোর ছোট ভাইর ইস্কুলে গিয়া পড়ালেখা কুর্তে ভাল লাগে না,,মোর छोट ভাইয়ার স্কুলে/ইস্কুলে গিয়া পढ়াইলিখা কর্তা ভালা লাগে না।,আমaar ছুট ভাইয়ার স্কুলে গিয়া পড়ালেখা করতে ভালা লাগে না।,মোর ছুটো ভাইর ইস্কুলো গিয়া পড়ালেখা খরতে ভালা লাগে না।
আমি একদিন বিদ্যালয়ের মাঠে মাথা ঘুরিয়ে পরে গিয়েছিলাম,মুই একদিন বিদ্যালয়ের মাঠো মাথা ঘোরাইয়া ফরি গেছিলাম,মুই অকদিন ইস্কুলর মাঠে মাথা ঘুরাইয়া পড়ে গিছলাম,,আমি এখদিন স্কুলার/ইস্কুলার মাইডে মাথা ঘুরাইয়া পড়া গেসিলাম।,আমি একদিন স্কুলের মাইডে মাথা ঘুরাইয়া পড়ে গিছলাম।,মুই এখদিন ইস্কুলর মাঠো মাথা গুরাইয়া পরি গেছিলাম।
আপনি কি আমাকে কোনদিনও ভালবাসবেন না ?,আফনে কিতা আমারে কোনোদিনও ভালা ফাইতা না,আপনে কি মোরে কুনদিনও ভালবাসবান না?,,ইফনে কি মোরে কুনদিনও ভালাবাসব না?,আপনে কি আমারে কোনদিনও ভালবাসবুন না?,আফনে কি আমারে কুনোদিনউ ভালা পাইবায় না?
আমার বন্ধু আজকে সকালে ফুটবল খেলেছে,আমার বন্ধু আইজকে সকালে ফুটবল খেলছে,মোর বন্ধু আজ সকালে ফুটবল খেইল্লছে,,মোর বন্ধু আজিক সকালে ফুটবল খেইল্লছে।,আমaar বন্ধু আজিক সকালে ফুটবল খেলছে।,মোর বন্ধু আইজকু সকালে ফুটবল খেলছে।
তুমি আমার মনের কথা একদমই বুঝো না,তুমি আমার ভিতরর মাত একদমই বুঝো না,তুঁই মোর মনের কথা একদমই বুঝো না,,तुमि मोर मनर कथा एकदमइ बुझो ना।,তুঁই আমaar মনের কথা একদমই বুঝ না।,তুমি মোর মনর খতা এখেবারেউ বুঝো না।
আমার আম্মু অনেক ভালো রান্না করে,আমার মাই অনেক ভালা রান্দা করইন,মোর আম্মু অনেক ভাল রান্না করে,,মোর আম্মু বহুত ভালা রান্না করে।,আমaar আম্মু অনেক ভালা রান্না করে।,মোর আম্মায় বাক্কা ভালা রান্না খরে।
আমার বন্ধু এখন ঘুমাতে যাবে,আমার বন্ধু এখন হুতনো যাইবো,মোর বন্ধু হুন ঘুমাইতে যাইব,,মোর বন্ধু ইবের ঘুমান্তা যাইব।,আমaar বন্ধু এখন ঘুমাইন্তে যাইব।,মোর বন্ধু এখন ঘুমাইতে যাইবো।
আমার ছোট বোন নাচতে পারে,আমার ছোট বোইন নাচতে ফারে,মোর ছোট বাইনের নাচতে পারে,,মোর छोट बাইন নাচ্তা পারে।,আমaar ছুট বয়ন নাচতে পারে।,মোর ছুট বইন নাচতে পারে।
আমার বন্ধু এইবার ছুটিতে রাজশাহী ঘুরতে যাবে,আমার বন্ধু এবার ছুটিতে রাজশাহী ফাকানিত যাইবো,মোর বন্ধু এইবার ছুটিতে রাজশাহী ঘুড়তে যাইব,,মোর বন্ধু অইবার ছুটিত রাজশাহী ঘুর্দা যাইব।,আমaar বন্ধু এইবার ছুটিতে রাজশাহী ঘুরতে যাইব।,মোর বন্ধু অউবার ছুটিত রাজশাহী ঘুরাত যাইবো।
আমার বন্ধু যাকে ভালবাসে সে রাজশাহী থাকে,আমার বন্ধু যারে ভালা ফায় হে রাজশাহী থাকে,মোর বন্ধু যেইকা ভালবাসে সি রাজশাহী থাকে,,"মোর বন্ধু যেকু ভালাবাসे, হিন রাজশাহী থাকে।",আমaar বন্ধু যারে ভালবাসে সি রাজশাহী থাকে।,মোর বন্ধু যেগুরে ভালা পায় হে রাজশাহীত থাকে।
মেয়েটি রাজশাহী থেকে আমার বড় ভাইয়ের সাথে দেখা করতে এসেছিল,ফুড়িটা রাজশাহী থাকি আমার বড় ভাইয়র লগে দেখা করাত আইছলা,ছোড়ীটা রাজশাহী থাইক্যা মোর বড় ভাইর সাতে দেখা কুর্তে আসছিল,,ফুইড়্টা/হিনট্টা রাজশাহী হ্তে মোর बड़ भाईয়ার লगে দেখা করাত আইছিল।,মেইয়ট্টা রাজশাহী থেকে আমaar বড় ভাইয়ার লগে দেখা করতে আসছিল।,ফুড়িটায় রাজশাহী থাকি মোর বড় ভাইর লগে দেখা করাত আইছিল।
