bangla_speech,sylhet_bangla_speech,zero,few,cot,context,which one is best
তোমার আব্বু কেমন আছে?,তোমার আব্বা বালা আছইন নি?,তোঁয়ার আব্বু কিলা আছে?,তোমার আব্বা ভালা আছে?,তোমার আব্বু কেমন আসে?,তুমার আব্বা কিলা আছে নি?,Context
আমার বড় বোনের আজকে মন ভালো নেই,আমার বড় বইনর আইজ মন ভালা নায়,আমার বড় বইনর আইজ মন ভালা নাই।,আমার বড় বইনর আইজকু মন ভালা নায়,আমার বড় বইনের আইজ মন ভালা নাই।,আমার বড় বইনর আইজকু মন ভালা নায়।,Zero
তুমি কি আমাকে এই কাজটি করে দিতে পারবে?,তুমি কিতা মোরে এই কাজটা করাই দিতা পারবা নি?,তুঁই কি আমারে এই কামটা কইরা দিতা ফারবি?,তুমি কিতা আমারে এউ খাজটা খইরা দিতা ফারবা?,তুই কি আমারে এই কামটা কইরা দিতে পারবি?,তুমি কিতা মোরে অউ কামটা খরি দিতা পারবে নি?,Context
এই গরমে বাহিরে বের হতে ইচ্ছা করে না,এই গরমো বাইরে বাইর অইতে জানে কয় না,এই গরমত বাইরে বাইরা যাইতে মন নাকরে।,অউ গরমো বাইরে বাইরা যাইত ইচ্ছা খরের না,এই গরমে বাইরে বাইরতে ইচ্ছা করে না।,অউ গরমো বাইরে বাইরত ইচ্ছা করে না।,Context
তোমার সব কথাই ভুল,তোমার সব মাত ভুল,তোঁয়ার সব কথাই ভুল।,তোমার সব কথাই ভুল,তোমার সব কথাই ভুল।,তুমার হখল কথাউ ভুল।,Context
তোমার মত খারাপ ছেলে আমি আর একটাও দেখিনি,তোমার মত খারাফ পুয়া মুই আর একটাও দেখছি না,তোঁয়ার মত খারাপ ফোয়া আমি আর এটা দেখি নাই।,তোমার মতন খারাপ ফুয়া আমি আর এখটাও দেখি নাই,তোমার মত খারাপ ফুয়া আমি আর একটাও দেখিনাই।,তুমার লাখান খারাফ ফুয়া মুই আর এখটাউ দেখছি না।,Context
বিয়ের জন্য আম্মা আমার জন্য ছেলে খুজতাসে,বিয়ার লাগি মাই মুর লাগি ফুয়া খুজিরা,বিয়ার লাই আম্মা আমার লাই ফোয়া খোঁজতাছে।,বিয়ার লাই আম্মা আমার লাই ফুয়া খুজতাসে,বিয়ার লাই আম্মা আমার লাই ফুয়া খুঁজতাসে।,বিয়ার লাগি আম্মায় মোর লাগি ফুয়া খুজরা।,Context
আব্বা আমাকে গতকাল একটা ছেলের সাথে দেখা করতে বলেছিল,আব্বা মোরে গতকাল এক ফুয়ার লগে দেখা করতে কইছলা,আব্বা আমারে কাইল এটা ফোয়ার লগে দেখা করতে কইছিল।,আব্বা আমারে গতকাইল এখটা ফুয়ার লগে দেখা করাত কইছিল,আব্বা আমারে গতকাইল একটা ফুয়ার লগে দেখা করতে কইছিল।,আব্বা মোরে গতকাইল এখটা ফুয়ার লগে দেখা করাত কইছিল।,Context
ছেলেটিকে আমার একদমই ভালো লাগেনি,ফুয়াটারে মোর একদমই ভালা লাগে নাই,ফোয়াটারে আমার এক্কেবারে ভালা লাগে নাই।,ফুয়াটারে আমার এক্কেবারে ভালা লাগে নাই,ফুয়াটারে আমার একদমই ভালা লাগেনাই।,ফুয়াটারে আমার এখেবারেউ ভালা লাগে না।,Context
মেয়েটি গোলাপি রঙের শাড়ি পরে এসেছিল,ফুরিটা গোলাপি রঙের শাড়ি পরিয়া আইছিল,মাইয়াটি গোলাপি রঙর শাড়ি ফইরা আইছিল।,ফুড়িটায় গোলাপি রংগর শাড়ি পিন্দিয়া আইছিল,মাইয়াডা গোলাপি রঙের শাড়ি পইরা আইছিল।,ফুড়িটায় গোলাপি রংগর শাড়ি পিন্দিয়া আইছিল।,Context
