bangla_speech,sylhet_bangla_speech,zero,few,cot,context
তোমার আব্বু কেমন আছে?,তোমার আব্বা বালা আছইন নি?,তোমার বাপে কিরাম আছে?,তোমার আব্বা কেমন আছের?,তুমার বাফা ক্যামন আছইন?,তুমার আব্বা কিলা আসে নি?
আমার বড় বোনের আজকে মন ভালো নেই,আমার বড় বইনর আইজ মন ভালা নায়,আমার বড় আফা অহন মন বালা নাই,আমার বড় আফার আইজকু মন ভালা নায়,আমার বড় আফা র আজকা মন বালা নাই,আমার বড় বইনের আইজকু মন ভালা নায়
তুমি কি আমাকে এই কাজটি করে দিতে পারবে?,তুমি কিতা মোরে এই কাজটা করাই দিতা পারবা নি?,তুমি কি আমারে এই কামডা কইরা দিতে পারবা?,তুমি কি আমারে অই কামতো কইরা দিতে পারবা?,তুমি কি আমারে এই কামটা কইরা দিতে পারবা?,তুমি আমারে অউ কাজটা খরিয়া দিতা পারবায় নি?
এই গরমে বাহিরে বের হতে ইচ্ছা করে না,এই গরমো বাইরে বাইর অইতে জানে কয় না,এই তাপে বাইরে যাইতে মন চায় না,অউ গরমো বাইরে বের অইতে ইচ্ছা কইরতাসে না,এই গরমে বাইরে যাইতে ইচ্ছা করে না,অউ গরমো বাইরে যাইতে ইচ্ছা খরে না
তোমার সব কথাই ভুল,তোমার সব মাত ভুল,তোমার হগল কতা ভুল,তোমার হবো কথাই ভুল,তুমার সব কথা ই ভুল,তুমার হখল মাতই ভুল
তোমার মত খারাপ ছেলে আমি আর একটাও দেখিনি,তোমার মত খারাফ পুয়া মুই আর একটাও দেখছি না,তোমার মত বদ ছাওয়া আমি আর একডাও দেহিনি,তোমার মতোন খারাপ ফুয়া আমি আর এ্যাকটা-ও দেহিনি,তুমার মতন খারাপ ফারান আমি আর একডাও দেহি নাই,তুমার লাখান বাজে ফুয়া মুই আর একটাও দেখছি না
বিয়ের জন্য আম্মা আমার জন্য ছেলে খুজতাসে,বিয়ার লাগি মাই মুর লাগি ফুয়া খুজিরা,বিয়ার লাইগা আম্মা আমার লাইগা ছাওয়া খুজতাসে,বিয়ার লাইগা আম্মা আমার লাইগা ফুয়া খুজতাসে,বিয়ার লাইগা আম্মা আমার লাইগা ফারান খুজতাসে,বিয়ার লাগি আম্মায় আমার লাগি ফুয়া খুজতাসে
আব্বা আমাকে গতকাল একটা ছেলের সাথে দেখা করতে বলেছিল,আব্বা মোরে গতকাল এক ফুয়ার লগে দেখা করতে কইছলা,বাপে আমারে আরেকদিন এক ছাওয়াডার লগে দেখা কইরা কইছিল,আব্বা আমারে কল্য একখান ফুয়ার লগে দেখা কইরতে কইছিল,বাফা আমারে আরই একডা ফারানর সাতে দেখা করতে কইছিল,আব্বায় আমারে গতকাইল এখটা ফুয়ার লগে দেখা খরতে কইছলা
ছেলেটিকে আমার একদমই ভালো লাগেনি,ফুয়াটারে মোর একদমই ভালা লাগে নাই,ছাওয়াডারে আমার একদমই বালা লাগে নাই,ফুয়াটারে আমার এ্যাকদম-ই ভালা লাগে নাই,ফারানডারে আমার একদমই বালা লাগে নাই,ফুয়াটারে আমার এখেবারেউ ভালা লাগে নাই
মেয়েটি গোলাপি রঙের শাড়ি পরে এসেছিল,ফুরিটা গোলাপি রঙের শাড়ি পরিয়া আইছিল,মাইয়াডা গোলাপি রঙের শাড়ি পইরা আইছিল,ফুড়িটা গোলাপি রংগর শাড়ি পিন্দিয়া আইছিল,ছেরিটা গোলাপি রঙের শাড়ি পরে আইছিল,ফুড়িটায় গোলাপি রঙর শাড়ি পিন্দিয়া আইছিল
আমার দুইদিন পরে বিয়ে হবে,আমার দুইদিন ফরে বিয়া অইবো,আমার দুই দিন পরত বিয়া অইব,আমার দুই দিন পর বিয়া অইবো,আমার দুই দিন পর বিয়া অইব,আমার দুই দিন বাদে বিয়া অইবো
ছেলেটি এখন আর বিকালে খেলতে বের হয় না,ফুয়াটা এখন আর বিকালে খেলাত বারয় না,ছাওয়াডা অহন আর বেলায় খেইলা বাইর অয় না,ফুয়াটা এহন আর বেলায় খেইলতে বাইর অয় না,ফারানডা এহন আর বেলারে খেইলা বাইর অয় না,ফুয়াটা এহন আর বিয়ানে খেলাত বার হয় না
মেয়েটি সকালে ঘুম থেকে উঠেই পরতে বসে,ফুরিটা সকালে ঘুম থাকি উঠেই ফরাত বয়,মাইয়াডা বেলায় উইঠাই পড়তে বইসা,ফুড়িটা সকালে উঠিয়াই পড়তে বইসা,ছেরিটা ভোরে উঠি পরতে বইসা,ফুড়িটা বিয়ানে গুম থাকি উঠিয়াই পড়তে বইয়া যায়
আমার চাচা বিদেশ থেকে গতকাল বাংলাদেশে এসেছে,আমার চাচা বিদেশ থাকি গতকাল বাংলাদেশে আইছে,আমার চাচা হের দেশ থেইকা আরেকদিন বাংগাল দেশে আইছে,আমার চাচা বিয়াদেস থাইকা কল্য বাংলাদেশে আইছে,আমার চাচা বিদেশ থেইকা আরই বাংলাদেশে আইছে,আমার চাচা বিদেশ থাকি গতকাইল বাংলাদেশ আইছে
