bangla_speech,sylhet_bangla_speech,context,zero,few,COT
তোমার আব্বু কেমন আছে?,তোমার আব্বা বালা আছইন নি?,তুমার আব্বা কিলা আসইন?,তুমার আব্বা কিতালাগে? / তুমার বা কিতালাগে?,তুমার আব্বা কিতা ভালা আছন?,তুমার আব্বায় কুনু আছেন নি?
আমার বড় বোনের আজকে মন ভালো নেই,আমার বড় বইনর আইজ মন ভালা নায়,আমার বড় বইনোর আইজকু মন ভালা নায়।,আমার বড় বইন'র আজ মন ভালা নাই।,আমার বড় বইনর আইজকু মন ভালা নায়।,আমার বউনো(বড় বোন) আইজ মন বালা নাই।
তুমি কি আমাকে এই কাজটি করে দিতে পারবে?,তুমি কিতা মোরে এই কাজটা করাই দিতা পারবা নি?,তুমি কিতা আমারে অউ কামটা খরিয়া দিতা ফারবে নি?,তুমি কিতা আমারে এই কামটা করি দিতে পারবায়?,তুমি কিতা মোরে অউ কামটা করিয়া দিতো ফারবায়?,তুমি কি আমারে এই কামটা করি দিতে পারবা নি?
এই গরমে বাহিরে বের হতে ইচ্ছা করে না,এই গরমো বাইরে বাইর অইতে জানে কয় না,অউ গরমো বারে বাইরাইতে ইচ্ছা খরে না।,এই গরমো বারইত বাইর অইতে মন চায়না।,অউ গরমো বাইরো বার অইতো মন চায়না।,এই গরমো(গরমের মধ্যে) বারে বারাইতো মন চায় না।
তোমার সব কথাই ভুল,তোমার সব মাত ভুল,তুমার হখল মাতেউ ভুল।,তুমার হকল (অকল) কতাই ভুল।,তুমার সব কতাই ভুল।,তুমার হকল কথা-ই ভুল।
তোমার মত খারাপ ছেলে আমি আর একটাও দেখিনি,তোমার মত খারাফ পুয়া মুই আর একটাও দেখছি না,মুই তুমার লাখান খারাফ ফুয়া আর এখটাউ দেখছি নায়।,তুমার লাখান খারাপ ফুয়া/পোয়া আমি আর একটাও দেখছিনি না।,তুমার লাখান খারাপ ফুয়া মুই আর এখটাও দেখছি না।,তুমার লাখান খারাপ ফুয়া (পোলা) আমি আর অক্কলও (একটাও) দেখছি না।
বিয়ের জন্য আম্মা আমার জন্য ছেলে খুজতাসে,বিয়ার লাগি মাই মুর লাগি ফুয়া খুজিরা,বিয়ার লাগি আম্মায় আমার লাগি ফুয়া খুজরা।,বিয়াত লাগি আম্মা আমার লাগি ফুয়া/পোয়া খাটাইরা।,বিয়ার লাগি আম্মা মোর লাগি ফুয়া হান্দিরা।,বিয়ার লাগি আম্মায় মু’র লাগি ফুয়া (পোলা) তলাশ করতাছইন।
আব্বা আমাকে গতকাল একটা ছেলের সাথে দেখা করতে বলেছিল,আব্বা মোরে গতকাল এক ফুয়ার লগে দেখা করতে কইছলা,আব্বায় আমারে গতকাইল এখটা ফুয়ার লগে দেখা করাত কইছলা।,আব্বায় আমারে খালকা (কালকে) এক ফুয়া'র লগে দেখা করাত কইছলা।,আব্বায় মোরে কাইলকু এখটা ফুয়ার লগে দেখা করাত কইছলা।,আব্বায় মু’রে (আমারারে) কাইল একখান ফুয়ার লগে দেখা করতাম কইছলা।
ছেলেটিকে আমার একদমই ভালো লাগেনি,ফুয়াটারে মোর একদমই ভালা লাগে নাই,ফুয়াটারে আমার এখদমউ ভালা লাগের না।,এই ফুয়া/পোয়াটারে আমার এক্কেরেও ভালা লাগছে না।,ফুয়াটারে মোর এক্কুরউ ভালা লাগের না।,ফুয়া-টার আমার একদম-ই বালা লাগছে না।
মেয়েটি গোলাপি রঙের শাড়ি পরে এসেছিল,ফুরিটা গোলাপি রঙের শাড়ি পরিয়া আইছিল,ফুড়িটায় গোলাপি রংর শাড়ি পিন্দিয়া আইছিল।,ফুঁড়িটা গোলাপি রঙ্গের শাড়ী পিন্দি আইছল।,ফুড়িটায় গোলাপি রংগর শাড়ি পিন্দিয়া আইছিল।,ফুরি-টা (মেয়ে) গোলাপী রং-এর শাড়ি পিন্দিয়া আইছল।
