bangla_speech,sylhet_bangla_speech,zero,few,cot,context
তোমার আব্বু কেমন আছে?,তোমার আব্বা বালা আছইন নি?,তোমার বাবা ভালো নেই?,তোমার আব্বু কেমন আছে?,তোমার বাবা ভালো নেই?,তোমার আব্বা ভালো আছেন না?
আমার বড় বোনের আজকে মন ভালো নেই,আমার বড় বইনর আইজ মন ভালা নায়,আমার বড় বোনের আজ মন ভালো নয়,আমার বড় বোনের আজকে মন ভালো নেই,আমার বড় বোনের আজ মন ভালো নয়,আমার বড় বোনের আজ মন ভালো নেই
তুমি কি আমাকে এই কাজটি করে দিতে পারবে?,তুমি কিতা মোরে এই কাজটা করাই দিতা পারবা নি?,তুমি কি আমাকে এই কাজটা করতে দিতে পারবে না?,তুমি কি আমাকে এই কাজটি করে দিতে পারবে?,তুমি কি আমাকে এই কাজটা করতে দিতে পারবে না?,তুমি কি আমাকে এই কাজটা করতে দিতে পারবে না?
এই গরমে বাহিরে বের হতে ইচ্ছা করে না,এই গরমো বাইরে বাইর অইতে জানে কয় না,এই গরমে বাইরে বের হতে জানে কে না,এই গরমে বাহিরে বের হতে ইচ্ছা করে না,এই গরমে বাইরে বের হতে ইচ্ছে করে না,এই গরমে বাইরে বের হতে জানে কে না
তোমার সব কথাই ভুল,তোমার সব মাত ভুল,তোমার সব কথা ভুল,তোমার সব কথাই ভুল,তোমার সব কথা ভুল,তোমার সব কথা ভুল
তোমার মত খারাপ ছেলে আমি আর একটাও দেখিনি,তোমার মত খারাফ পুয়া মুই আর একটাও দেখছি না,তোমার মতো খারাপ ছেলে আমি আর একটাও দেখছি না,তোমার মত খারাপ ছেলে আমি আর একটাও দেখিনি,তোমার মতো খারাপ ছেলে আমি আর একটাও দেখছি না,তোমার মতো খারাপ পাওয়া আমি আর একটাও দেখছি না
বিয়ের জন্য আম্মা আমার জন্য ছেলে খুজতাসে,বিয়ার লাগি মাই মুর লাগি ফুয়া খুজিরা,বিয়ের জন্য মায়ের জন্য মেয়ে খুঁজছো,বিয়ের জন্য আম্মা আমার জন্য ছেলে খুঁজতেছে,বিয়ের জন্য মায়ের জন্য মেয়ে খুঁজছো?,বিয়ের জন্য মামুর জন্য ছেলে খুঁজছে
আব্বা আমাকে গতকাল একটা ছেলের সাথে দেখা করতে বলেছিল,আব্বা মোরে গতকাল এক ফুয়ার লগে দেখা করতে কইছলা,বাবা আমাকে গতকাল এক মেয়ের সাথে দেখা করতে বলেছিল,আব্বা আমাকে গতকাল একটা ছেলের সাথে দেখা করতে বলেছিল,আব্বা আমাকে গতকাল একটা মেয়ের সাথে দেখা করতে বলেছিল,আব্বা আমাকে গতকাল এক ছেলের সাথে দেখা করতে বলেছিল
ছেলেটিকে আমার একদমই ভালো লাগেনি,ফুয়াটারে মোর একদমই ভালা লাগে নাই,মেয়েটাকে আমার একদমই ভালো লাগেনি,ছেলেটিকে আমার একদমই ভালো লাগেনি,সেই মেয়েটাকে আমার একদম ভালো লাগেনি,ছেলেটার প্রতি আমার একদমই ভালো লাগে না
মেয়েটি গোলাপি রঙের শাড়ি পরে এসেছিল,ফুরিটা গোলাপি রঙের শাড়ি পরিয়া আইছিল,মেয়েটা গোলাপি রঙের শাড়ি পরিয়ে এসেছিল,মেয়েটি গোলাপি রঙের শাড়ি পরে এসেছিল,মেয়েটা গোলাপি রঙের শাড়ি পরে এসেছিল,মেয়েটা গোলাপি রঙের শাড়ি পরে এসেছিল
আমার দুইদিন পরে বিয়ে হবে,আমার দুইদিন ফরে বিয়া অইবো,আমার দুইদিন পরে বিয়ে হবে,আমার দুইদিন পরে বিয়ে হবে,আমার দু'দিন পরে বিয়ে হবে,আমার দুইদিন পরে বিয়ে হবে
