,Bangla,sylheti
0,4,4
1,80,আশির
2, একটি , এখটা
3, খেলা ,খেলতা
4, ছেড়ে দিতে চাস ?,ছাড়িত্তে নি?
5, বসবা ?,বইবায় নি?
6, মধ্যে, মাজে
7,",কারো",খারো
8,",দূরে",দূরই
9,?,নি?
10,১৫,পন্ডো
11,১৬,১৬ত
12,২,দুই
13,২০১৫তে,২০১৫
14,২টা,দুইটা
15,অকালে,অখালে
16,,
17,অক্টোবরে,অক্টোবরো
18,অঘটন,অঘটন
19,অচেনা,অচেনা
20,অঞ্চল,অঞ্চল
21,অত,অতো
22,অতিরিক্ত,বেশ
23,অতীতে,জীবনো
24,অত্যন্ত,খুব
25,অত্যাচার,অত্যাচার
26,অথচ,অথচ
27,অথবা,নায়
28,অদ্ভুত,"অদ্ভুত, ফুরিন"
29,অনলাইনে,"অনলাইনে, অনলাইনো"
30,অনার্স,অনার্স
31,অনুভব,অনুভব
32,অনুভুতির,অনুভুতির
33,অনুভুতী,অনুভূতি
34,অনুমতি,অনুমতি
35,অনুমতির,অনুমতির
36,অনুযায়ী,অনুযায়ী
37,অনেক,অনেক
38,অনেক দিন আগে,বাক্কা আগে
39,অনেক বন্ধু আছে,বাক্কা বন্ধু আছে
40,অনেকগুলো,বাক্কা
41,অনেকটাই,"অনেক, বাক্কা"
42,অনেকদিন,"বাক্কা, বাক্কাদিন"
43,অনেকবার,"বউতবার, বাক্কাবার"
44,অনেকেই,অনেকই
45,অনেকের,ওর
46,অন্তত,নাওয়
47,অন্ধকার,অন্ধকার
48,"অন্ধকার,",আইন্দাইর
49,অন্য,"অইন্য, অন্য, আর, আরখ, আরোখ"
50,অন্যকে,অইন্যরে
51,অন্যতম,"অন্যতম, বউত"
52,অন্যদিকে,আরোখবায়
53,অন্যদের,"অইন্যরার, অইন্যরে, অইন্যের"
54,অন্যভাবে,অইন্যভাবে
55,অন্যান্য,অন্যান্য
56,অন্যায়,বায়
57,অন্যের,"অইন্যর, অইন্যের, আরেকগুর"
58,অপমান,অপমান
59,অপমান করে,অপমান করে
60,অপর,"আরেক, আরেখ"
61,অপরকে,আরোখজনর
62,অপরের,"অপরের, জনর"
63,অপেক্ষা,অপেক্ষা
64,অপেক্ষায়,অপেক্ষাত
65,অপ্রয়োজনীয়,আনা
66,অফিস,অফিস
67,অফিসে,অফিসো
68,অফিসের,অফিসর
69,অবদানই,অবদান
70,অবলা,বেচারা
71,অবশ্যই,"অবশ্যই, ফরবা"
72,অবস্থা,অবস্থা
73,অবস্থায়,অবস্থাত
74,অবাক,"অবাক, তাইজ্জব, বাক্কা"
75,অবিবাহিত,আবিয়াতি
76,অভিনয়,"অভিনয়, দিন"
77,অভিনয়,অভিনয়
78,অভিভাবকের,মনার
79,অভিযোগ,"অভিযোগ, অভিযোগ-ও, অভিযোগর"
80,অভ্যাস,অভ্যাস
81,অভ্যাস ,অভ্যাস
82,অযোগ্য,আকাইম্মা
83,অর্থ,অর্থ
84,অর্থনৈতিক,অর্থনৈতিক
85,অর্ধেকই,বেটিয়াইন
86,অলস,কুরিয়া
87,অল্প,বাক্কা
88,অল্পবয়সী,"অল্প, বয়সী"
89,অংশ,অংশ
90,অশান্তি,অশান্তি
91,অশিক্ষিত,"অশিক্ষিত, গন্ডোমূর্খ"
92,অসম্ভব,"অসম্ভব, বহুত, বহুুত, সুন্দর, সুন্দরী"
93,অসহায়,অসহায়
94,অসাধারণ,অসাধারণ
95,অসুখ,অসুখ
96,অসুখী,অসুখী
97,অসুখে,অসুখে
98,অসুন্দর,বাদ
99,অসুস্থ,"অসুস্থ, বাক্কা, বেমার, বেমারি, হাসপাতাল"
100,অসুস্থতার,বেমারর
101,আইডিটা,আইডি
102,আঁকতে,আঁকাইতে
103,আকাশ,আকাশ
104,আকাশে,আখাশর
105,আকাশের,আকাশ ওর
106,আগামিকাল,আগামী
107,"আগুন,","আগুইন,"
108,আগুনে,আগুন-ও
109,আগে,"আগ, আগর, আগে, তনে, তার, দিন"
110,আগে কখনো,এর আগে কুনোদিন
111,আগেই,"আগেই, আগেউ, আছইন"
112,আগের,"আগর, আগের"
113,আচরন,আচরণ
114,আচরনে,আচরণ
115,আঁচল,আঁচল
116,আছ,আছো
117,আছি,রইছি
118,আছে,আছইন
119,আছে ?, আছে নি?
120,"আছে,","আছে,"
121,আছে?,আছে নি?
122,আছেই,আছেউ
123,আছেন,"আছইন, আছোইন, বেটি"
124,আছেন?,আছইন নি?
125,আছো,আছো
126,আছো / আছনি,আসো / আছনি
127,আছো?,"আফনারা?, নি?"
128,আজ,আইজ
129,আজও,ভুলছে
130,আজকাল,আইজকাইল
131,আজকে,আইজকু
132,আজকের,"আইজ, আইজকুর"
133,আজীবন,জীবন
134,আজেবাজে,মাতে
135,আট,আট
136,আটকানো,আটকানি
137,আড়াল,আড়াল
138,আড্ডা,জামাইয়ে
139,আত্মহত্যা,আত্মহত্যা
140,আত্মীয়,কুটুম
141,আদর,"আদর, মায়া"
142,আধুনিক,আধুনিক
143,আনতে,আনতে
144,আনন্দ,মজা
145,আনন্দদায়ক,মজার
146,আনন্দের,আনন্দর
147,আনবা,আনমু
148,আনবো,আনতাম
149,আনলে,আনলে
150,আনালেন,আনাইলা
151,আনে,আনইন
152,আপন,নিজ
153,আপনজন,আফনজন
154,আপনাকে,আফনারে
155,আপনাদের,আফনারার
156,আপনার,আফনার
157,আপনারা,আফনারা
158,আপনারাও,আফনারাও
159,আপনি,আফনে
160,আপু,আফারে
161,আপুকে,আফারে
162,আপেল,আপেল
163,আফসোস,আফসোস
164,আফ্রিকার,আফ্রিকার
165,আবহাওয়টা,আবহাওয়াটা
166,আবহাওয়া,আবহাওয়া
167,আবহাওয়া,আবহাওয়া
168,আবার,আবার
169,আবারো,"আবার, আরখবার"
170,আবেগ,আবেগ
171,আবেগে,আইচ্চে
172,আবেগের,আবেগর
173,আব্বু,আব্বা
174,আম,আম
175,আমগাছ,আমগাছ
176,আমগাছে,আমগাছ-ও
177,আমগাছের,"আমগাছ, গাছ"
178,আমটি,আম
179,আমদের,আমরার
180,আমরা,আমরা
