bangla_speech,sylhet_bangla_speech,zero,few,cot,context
তোমার আব্বু কেমন আছে?,তোমার আব্বা বালা আছইন নি?,তোমার বাবা ভালো আছেন কি?,তোমার আব্বা ভালো আছেন না?,তোমার বাবা ভালো আছেন না?,তোমার আব্বা ভালো আছেন কি?
আমার বড় বোনের আজকে মন ভালো নেই,আমার বড় বইনর আইজ মন ভালা নায়,আমার বড় বোনের আজ মন ভালো নেই।,আমার বড় বোনের আজ মন ভালো নেই,আমার বড় বোনের আজ মন ভালো নেই,আমার বড় বোনের আজ মন ভালো নেই
তুমি কি আমাকে এই কাজটি করে দিতে পারবে?,তুমি কিতা মোরে এই কাজটা করাই দিতা পারবা নি?,তুমি কি আমাকে এই কাজটা করিয়ে দিতে পারবে না?,তুমি কি আমাকে এই কাজটা করিয়ে দিতে পারবে না?,তুমি কি আমাকে এই কাজটা করে দিতে পারবে না?,তুমি কি আমাকে এই কাজটা করিয়ে দিতে পারবে না?
এই গরমে বাহিরে বের হতে ইচ্ছা করে না,এই গরমো বাইরে বাইর অইতে জানে কয় না,এই গরমে বাইরে বের হতে কেউ চায় না।,এই গরমে বাইরে বের হতে একদম ভালো লাগে না,এই গরমে বাইরে বের হতে ভালো লাগে না,এই গরমে বাইরে বের হতে কারও ভালো লাগে না
তোমার সব কথাই ভুল,তোমার সব মাত ভুল,তোমার সব কথা ভুল।,তোমার সব কথা ভুল,তোমার সব কথা ভুল,তোমার সব কথা ভুল
তোমার মত খারাপ ছেলে আমি আর একটাও দেখিনি,তোমার মত খারাফ পুয়া মুই আর একটাও দেখছি না,তোমার মতো খারাপ ছেলে আমি আর একটিও দেখিনি।,তোমার মতো খারাপ ছেলে আমি আর একটাও দেখিনি,তোমার মতো খারাপ ছেলে আমি আর দেখিনি,তোমার মতো খারাপ ছেলে আমি আর একটাও দেখিনি
বিয়ের জন্য আম্মা আমার জন্য ছেলে খুজতাসে,বিয়ার লাগি মাই মুর লাগি ফুয়া খুজিরা,বিয়ের জন্য আমার মেয়ের জন্য ছেলে খুঁজছে।,বিয়ের জন্য আমার মায়ের জন্য ছেলে খুঁজছে,বিয়ের জন্য মা আমার জন্য ছেলে খুঁজছে,বিয়ের জন্য মা আমার জন্য ছেলে খুঁজছেন
আব্বা আমাকে গতকাল একটা ছেলের সাথে দেখা করতে বলেছিল,আব্বা মোরে গতকাল এক ফুয়ার লগে দেখা করতে কইছলা,বাবা আমাকে গতকাল এক ছেলের সঙ্গে দেখা করতে বলেছিলেন।,আব্বা আমাকে গতকাল এক ছেলের সাথে দেখা করতে বলেছিলেন,বাবা আমাকে গতকাল এক ছেলের সঙ্গে দেখা করতে বলেছিলেন,আব্বা আমাকে গতকাল এক ছেলের সাথে দেখা করতে বলেছিলেন
ছেলেটিকে আমার একদমই ভালো লাগেনি,ফুয়াটারে মোর একদমই ভালা লাগে নাই,ছেলেটিকে আমার একদমই ভালো লাগেনি।,ছেলেটিকে আমার একদমই ভালো লাগেনি,ছেলেটিকে আমার একদমই ভালো লাগেনি,ছেলেটিকে আমার একদমই ভালো লাগেনি
মেয়েটি গোলাপি রঙের শাড়ি পরে এসেছিল,ফুরিটা গোলাপি রঙের শাড়ি পরিয়া আইছিল,মেয়েটি গোলাপি রঙের শাড়ি পরে এসেছিল।,মেয়েটি গোলাপি রঙের শাড়ি পরে এসেছিল,মেয়েটি গোলাপি রঙের শাড়ি পরে এসেছিল,মেয়েটি গোলাপি রঙের শাড়ি পরে এসেছিল
আমার দুইদিন পরে বিয়ে হবে,আমার দুইদিন ফরে বিয়া অইবো,আমার দুই দিন পর বিয়ে হবে।,আমার দুইদিন পরে বিয়ে হবে,আমার দুইদিন পর বিয়ে হবে,আমার দুইদিন পরে বিয়ে হবে
ছেলেটি এখন আর বিকালে খেলতে বের হয় না,ফুয়াটা এখন আর বিকালে খেলাত বারয় না,ছেলেটি এখন আর বিকেলে খেলতে বের হয় না।,ছেলেটি এখন আর বিকালে খেলতে বের হয় না,ছেলেটি এখন আর বিকেলে খেলতে যায় না,ছেলেটি এখন আর বিকালে খেলতে আসে না
মেয়েটি সকালে ঘুম থেকে উঠেই পরতে বসে,ফুরিটা সকালে ঘুম থাকি উঠেই ফরাত বয়,মেয়েটি সকালে ঘুম থেকে উঠে কাজ করে।,মেয়েটি সকালে ঘুম থেকে উঠেই কাজ করে,মেয়েটি সকালে ঘুম থেকে উঠেই কাজ করে,মেয়েটি সকালে ঘুম থেকে উঠেই পড়তে বসে
আমার চাচা বিদেশ থেকে গতকাল বাংলাদেশে এসেছে,আমার চাচা বিদেশ থাকি গতকাল বাংলাদেশে আইছে,আমার চাচা বিদেশ থেকে গতকাল বাংলাদেশে এসেছেন।,আমার চাচা বিদেশ থেকে গতকাল বাংলাদেশে এসেছে,আমার চাচা বিদেশ থেকে গতকাল বাংলাদেশে এসেছে,আমার চাচা বিদেশ থেকে গতকাল বাংলাদেশে এসেছেন
আমার বাসার দারওয়ান অনেক ভালো মানুষ,আমার বাসার দারওয়ান অনেক ভালা মানুষ,আমার বাসার দারোয়ান খুব ভালো মানুষ।,আমাদের বাসার দারোয়ান অনেক ভালো মানুষ,আমাদের বাসার দারোয়ান খুব ভালো মানুষ,আমার বাসার দারোয়ান অনেক ভালো মানুষ
আমার বন্ধু খুলনা ঘুরতে গিয়েছে,আমার বন্ধু খুলনা বেরানিত গেছইন,আমার বন্ধু খুলনা বেড়াতে গেছেন।,আমার বন্ধু খুলনায় বেড়াতে গেছে,আমার বন্ধু খুলনায় বেড়াতে গিয়েছে,আমার বন্ধু খুলনা বেড়াতে গেছেন
আমার ঘুরতে অনেক ভালো লাগে,আমার বেরাইতে অনেক ভালা লাগে,আমার ঘুরতে খুব ভালো লাগে।,আমার বেড়াতে খুব ভালো লাগে,আমার বেড়াতে খুব ভালো লাগে,আমার বেড়াতে খুব ভালো লাগে
আমি বিদেশে গিয়ে অনেক ঘুরতে চাই,মুই বিদেশে গিয়া অনেক বেরাইতে চাই,আমি বিদেশে গিয়ে অনেক ঘুরতে চাই।,আমি বিদেশে গিয়ে অনেক বেড়াতে চাই,আমি বিদেশে গিয়ে অনেক ঘুরতে চাই,আমি বিদেশে গিয়ে অনেক বেড়াতে চাই
তুমি আমাকে বিরক্ত করো না,তুমি মোরে বিরক্ত করবা না,তুমি আমাকে বিরক্ত করবে না।,তুমি আমাকে বিরক্ত করবে না,তুমি আমাকে বিরক্ত কোরো না,তুমি আমাকে বিরক্ত করবে না
তিনি আমাকে অনেক অপমান করেছে,তাইন মোরে অনেক অপমান করছইন,তিনি আমাকে অনেক অপমান করেছেন।,তারা আমাকে অনেক অপমান করেছে,তিনি আমাকে অনেক অপমান করেছেন,তিনি আমাকে অনেক অপমান করেছেন
আমার সকালে উঠে বই পরতে অনেক ভালো লাগে,মোর সকালে উঠিয়া বই পরতে অনেক ভালা লাগে,আমার সকালে উঠে বই পড়তে খুব ভালো লাগে।,আমার সকালে উঠে বই পড়তে খুব ভালো লাগে,আমার সকালে উঠে বই পড়তে খুব ভালো লাগে,আমার সকালে উঠে বই পড়তে খুব ভালো লাগে
