bangla_speech,sylhet_bangla_speech,zero,context,zero,few,cot,
তোমার আব্বু কেমন আছে?,তোমার আব্বা বালা আছইন নি?,তোর আব্বা কেমন আছেগো?,তুমার আব্বা কিলা আসইন নি?,তোর আব্বা কেমন আছেগো?,তোর আব্বু কেমনে আছেগা?,তোয়ার আব্বা কিতা আছ?,
আমার বড় বোনের আজকে মন ভালো নেই,আমার বড় বইনর আইজ মন ভালা নায়,আমার বড়া আপার আজকা মন ভালে নাই,আমার বড় বইনের আইজকু মন ভালা নায়,আমার বড়া আপার আজকা মন ভালে নাই,আমার বড় আপার আইজকু মন ভালা নায়,আমার বরা আপার আজগা মন ভাল নাই,
তুমি কি আমাকে এই কাজটি করে দিতে পারবে?,তুমি কিতা মোরে এই কাজটা করাই দিতা পারবা নি?,তুই কি আমারে এই কামডা কইরা দিতে পারবি?,তুমি কিতা আমারে অউ কামটা খরিয়া দিবার ফারবা নি?,তুই কি আমারে এই কামডা কইরা দিতে পারবি?,তুমি কিতা মোরে অউ কামডা করিয়া দিতপারবা?,তুয়া মইক এই কামডা কইরা দিতে পারবি?,
এই গরমে বাহিরে বের হতে ইচ্ছা করে না,এই গরমো বাইরে বাইর অইতে জানে কয় না,এই গরমে বারি থেইকা বার হইতে ইচ্ছা করে না,অউ গরমো বারি ফরাইতে ইচ্ছা খরের নায়,এই গরমে বারি থেইকা বার হইতে ইচ্ছা করে না,অউ গরমো বাহিরে বের অইত ইচ্ছা করের না,এই গরমে বাহিরে যাওনর ইচ্ছা করে না,
তোমার সব কথাই ভুল,তোমার সব মাত ভুল,তোর সব কথা ভুল,তুমার হখল মাতই ভুল,তোর সব কথা ভুল,তোর সব কথা গুলানই ভুল,তোয়ার সব কথাই ভুল,
তোমার মত খারাপ ছেলে আমি আর একটাও দেখিনি,তোমার মত খারাফ পুয়া মুই আর একটাও দেখছি না,তোর মতন খারাপ পোলা আমি আরেকডা দেখিনে,তুমার লাখান খারাপ ফুয়া মুই আর এখটাউ দেখছি নি,তোর মতন খারাপ পোলা আমি আরেকডা দেখিনে,তোর লগে খারাপ ফুয়া আںই আর এখটা-ও দেখিনাই,তোয়ার মতো খারাপ ফুয়া মই আর একটা ও দেহনাই,
বিয়ের জন্য আম্মা আমার জন্য ছেলে খুজতাসে,বিয়ার লাগি মাই মুর লাগি ফুয়া খুজিরা,বিয়ার লাগি আমার আম্মা আমার লাগি পোলা খুঁজতাছে,বিয়ার লাগি আম্মায় আমার লাগি ফুয়া খুজতাসে,বিয়ার লাগি আমার আম্মা আমার লাগি পোলা খুঁজতাছে,বিয়াত্তর লাগি মায় আমার লাগি ফুয়া খুজতাছে,বিয়্যার লাগি আম্মা আমার লাগি ফুয়া খুঁজতাসে,
আব্বা আমাকে গতকাল একটা ছেলের সাথে দেখা করতে বলেছিল,আব্বা মোরে গতকাল এক ফুয়ার লগে দেখা করতে কইছলা,আব্বা আমারে গতকাল একডা পোলার লগে দেখা করবার কইছিল,আব্বা আমারে গতকাইল এখটা ফুয়ার লগে দেখা করাত কইছলা,আব্বা আমারে গতকাল একডা পোলার লগে দেখা করবার কইছিল,আব্বা মোরে গদিন এখটা ফুয়ার লগে দেখা করাত কৈছিল,আব্বা মইক কালক এক ফুয়ার লগে দেখা করনর কইছিল,
ছেলেটিকে আমার একদমই ভালো লাগেনি,ফুয়াটারে মোর একদমই ভালা লাগে নাই,পোলাডারে আমার একডমই ভালে লাগনি,ফুয়াটারে আমার এখদমেউ ভালা লাগছে নায়,পোলাডারে আমার একডমই ভালে লাগনি,ফুয়াটে আমার একডমই ভালা লাগিনাই,ফুয়ারে আমার একডমও ভাল লাগনাই,
মেয়েটি গোলাপি রঙের শাড়ি পরে এসেছিল,ফুরিটা গোলাপি রঙের শাড়ি পরিয়া আইছিল,মেয়াডা গোলাপি রঙের শাড়ি পইরা আসছিল,ফুড়িটায় গোলাপি রংগর শাড়ি পিন্দিয়া আইছিল,মেয়াডা গোলাপি রঙের শাড়ি পইরা আসছিল,ফুড়িটায় গোলাপি রংগর শাড়ি পিন্দিয়া আইছিল,মাইয়ার ফুলাই রঙর শাড়ি পরা আইছিল,
আমার দুইদিন পরে বিয়ে হবে,আমার দুইদিন ফরে বিয়া অইবো,আমার দুইদিন পর বিয়া হইব,আমার দুইদিন বাদে বিয়া অইবো,আমার দুইদিন পর বিয়া হইব,আমার দুইদিন পরে বিয়া অইব,আমার দুইদিন পরে বিয়া অইবো,
ছেলেটি এখন আর বিকালে খেলতে বের হয় না,ফুয়াটা এখন আর বিকালে খেলাত বারয় না,পোলাডা এখন আর বিকালে খেলতে বার হয় না,ফুয়াটায় এখন আর বিকালে খেলাত ফরাই নায়,পোলাডা এখন আর বিকালে খেলতে বার হয় না,ফুয়াটায় এখন আর বিকালে খেলত বের অয় নায়,ফুয়া এহন আর বিকালে খেলনর বাহির অয় না,
মেয়েটি সকালে ঘুম থেকে উঠেই পরতে বসে,ফুরিটা সকালে ঘুম থাকি উঠেই ফরাত বয়,মেয়াডা সকালে ঘুম থেইকা উঠলেই পড়তে বসে,ফুড়িটায় সকালে গুম থাকি উটেই পড়তে বইয়ে,মেয়াডা সকালে ঘুম থেইকা উঠলেই পড়তে বসে,ফুড়িটায় সাকালে ঘুম তেকা উঠেই পইরত বসে,মাইয়া সাকালে ঘুম থেইকা উঠা লগেই পরা বসে,
আমার চাচা বিদেশ থেকে গতকাল বাংলাদেশে এসেছে,আমার চাচা বিদেশ থাকি গতকাল বাংলাদেশে আইছে,আমার চাচা বিদেশ থেইকা গতকাল বাংলাদেশে আইছে,আমার চাচা বিদেশ থাকি গতকাইল বাংলাদেশো আইছে,আমার চাচা বিদেশ থেইকা গতকাল বাংলাদেশে আইছে,আমার চাচা বিদেশ তেকা গদিন বাংলাদেশে আইছে,আমার চাচা বিদেশ থেইকা কালক বাংলাদেশত আইছে,
আমার বাসার দারওয়ান অনেক ভালো মানুষ,আমার বাসার দারওয়ান অনেক ভালা মানুষ,আমার বাসার দারোয়ান অনেক ভালে মানুষ,আমার বাসার দারোয়ান বাক্কা ভালা মানুষ,আমার বাসার দারোয়ান অনেক ভালে মানুষ,আমার বাসার দারোয়ান অনেক ভালা মানুষ,আমার বাসার দারওয়ান বহুত ভাল মানুষ,
আমার বন্ধু খুলনা ঘুরতে গিয়েছে,আমার বন্ধু খুলনা বেরানিত গেছইন,আমার বান্ধবী খুলনা ঘুরতে গইছে,আমার বন্দু খুলনা গুরাত গেছে,আমার বান্ধবী খুলনা ঘুরতে গইছে,আমার বন্ধু খুলনা ঘুরত গিছেগা,আমার বন্ধা খুলনা ঘুরন গেছ,
আমার ঘুরতে অনেক ভালো লাগে,আমার বেরাইতে অনেক ভালা লাগে,আমার ঘুরতে অনেক ভালে লাগে,আমার গুরাত বাক্কা ভালা লাগে,আমার ঘুরতে অনেক ভালে লাগে,আমার ঘুরত অনেক ভালা লাগের,আমার ঘুরনর বহুত ভাল লাগে,
আমি বিদেশে গিয়ে অনেক ঘুরতে চাই,মুই বিদেশে গিয়া অনেক বেরাইতে চাই,আমি বিদেশে গিয়া অনেক ঘুরতে চাই,মুই বিদেশে গিয়া বাক্কা গুরাত চাই,আমি বিদেশে গিয়া অনেক ঘুরতে চাই,আںই বিদেশে গিয়া অনেক ঘুরত চাই,মই বিদেশত গিয়া বহুত ঘুরন চাই,
তুমি আমাকে বিরক্ত করো না,তুমি মোরে বিরক্ত করবা না,তুই আমারে বিরক্ত করিস না,তুমি আমারে বিরক্ত খরো নি,তুই আমারে বিরক্ত করিস না,তুমি মোরে বিরক্ত করো নায়,তুয়া মইক বিরক্ত কইর না,
তিনি আমাকে অনেক অপমান করেছে,তাইন মোরে অনেক অপমান করছইন,উনি আমারে অনেক অপমান কইছে,তাইন আমারে বাক্কা অপমান খরছে,উনি আমারে অনেক অপমান কইছে,উনি মোরে অনেক অপমান করছে,তিনি মইক বহুত অপমান করছে,
আমার সকালে উঠে বই পরতে অনেক ভালো লাগে,মোর সকালে উঠিয়া বই পরতে অনেক ভালা লাগে,আমার সকালে উঠা বই পড়তে অনেক ভালে লাগে,আমার বিয়ানে উটি বই পড়তে বাক্কা ভালা লাগে,আমার সকালে উঠা বই পড়তে অনেক ভালে লাগে,আমার সাকালে উঠা বই পইরত অনেক ভালা লাগের,আমার সাকালে উঠা লগে বই পরতে বহুত ভাল লাগে,
আমার ছোট ভাই একদমই পড়ালেখা করতে চায় না,মোর ছোট ভাই একদমই পড়ালেখা করতে চাইন না,আমার ছোট ভাই একডমই পড়ালেখা করবার চায় না,আমার ছুটো ভাই এখদমেউ পড়ালেখা খরতে চায় নি,আমার ছোট ভাই একডমই পড়ালেখা করবার চায় না,আমার ছোট ভাই একডমই পইড়া-লেখা করত চায় নায়,আমার সোনা ভাই একডমও পড়ালেখা করন চাই না,
আমার ছোট ভাই বিদ্যালয়ে যেতে চায় না,মোর ছোট ভাই বিদ্যালয় যাইতে চায় না,আমার ছোট ভাই স্কুলে যাইবার চায় না,আমার ছুটো ভাই ইস্কুল যাইতে চায় নি,আমার ছোট ভাই স্কুলে যাইবার চায় না,আমার ছোট ভাই স্কুলে যাইত চায় নায়,আমার সোনা ভাই স্কুলত যাইত চাই না,
আমার ছোট ভাইয়ের বিদ্যালয়ে গিয়ে পড়ালেখা করতে ভাল লাগে না,মোর ছোট ভাইয়র বিদ্যালয়ে গিয়া পড়ালেখা করতে ভালা লাগে নানি,আমার ছোট ভাইর স্কুলে গিয়া পড়ালেখা করবার ভালে লাগে না,আমার ছুটো ভাইর ইস্কুল গিয়া পড়ালেখা খরতে ভালা লাগের নায়,আমার ছোট ভাইর স্কুলে গিয়া পড়ালেখা করবার ভালে লাগে না,আমার ছোট ভাইর স্কুলে গিয়া পইড়া-লেখা করত ভালা লাগের নায়,আমার সোনা ভাইর স্কুলত গিয়া পড়ালেখা করন ভাল লাগে না,
আমি একদিন বিদ্যালয়ের মাঠে মাথা ঘুরিয়ে পরে গিয়েছিলাম,মুই একদিন বিদ্যালয়ের মাঠো মাথা ঘোরাইয়া ফরি গেছিলাম,আমি একদিন স্কুলের মাঠে মাথা ঘুইরা পরা গেছিলাম,মুই এখদিন ইস্কুলর মাঠো মাথা গুরাইয়া পরি গেছিলাম,আমি একদিন স্কুলের মাঠে মাথা ঘুইরা পরা গেছিলাম,আںই একদিন স্কুলর মাঠে মাথা ঘুরাইয়া পইরা গিছিলাম,মই একদিন স্কুলর মাঠত মাথা ঘুরা পরে গইছিলাম,
আপনি কি আমাকে কোনদিনও ভালবাসবেন না ?,আফনে কিতা আমারে কোনোদিনও ভালা ফাইতা না,আপনে কি আমারে কুনদিনও ভালবাসবেন না?,আফনে কিতা আমারে কুনদিনউ ভালা ফাইবেন নি?,আপনে কি আমারে কুনদিনও ভালবাসবেন না?,আপনি কিতা মোরে কুনদিনও ভালাবাইবেন নায়?,আপনে মইক কেদিনও ভালবাসমুই না?,
আমার বন্ধু আজকে সকালে ফুটবল খেলেছে,আমার বন্ধু আইজকে সকালে ফুটবল খেলছে,আমার বন্ধু আজকা সকালে ফুটবল খেলছে,আমার বন্দু আইজকু বিয়ানে ফুটবল খেলাইছে,আমার বন্ধু আজকা সকালে ফুটবল খেলছে,আমার বন্ধু আইজকু সাকালে ফুটবল খেলছে,আমার বন্ধা আজগা সাকালে ফুটবল খেলছে,
তুমি আমার মনের কথা একদমই বুঝো না,তুমি আমার ভিতরর মাত একদমই বুঝো না,তুই আমার মনের কথা একডমই বুঝিস না,তুমি আমার মনর খতা এখদমেউ বুজো নি,তুই আমার মনের কথা একডমই বুঝিস না,তুমি আমার মনর কথা একডমই বুঝো নায়,তুঁই আমার মনের কথা একডমও বুঝোস না,
আমার আম্মু অনেক ভালো রান্না করে,আমার মাই অনেক ভালা রান্দা করইন,আমার আম্মা অনেক ভালে রান্না করে,আমার আম্মায় বাক্কা ভালা রান্না খরে,আমার আম্মা অনেক ভালে রান্না করে,আমার মায় অনেক ভালা রান্না করে,আমার আম্মু বহুত ভাল রান্না করে,
আমার বন্ধু এখন ঘুমাতে যাবে,আমার বন্ধু এখন হুতনো যাইবো,আমার বন্ধু এখন ঘুমাইতে যাইব,আমার বন্দু এখন গুমাইতে যাইবো,আমার বন্ধু এখন ঘুমাইতে যাইব,আমার বন্ধু এখন ঘুমাইত যাইব,আমার বন্ধা এহন ঘুমাইতে যামু,
আমার ছোট বোন নাচতে পারে,আমার ছোট বোইন নাচতে ফারে,আমার ছোট বোন নাচতে পারে,আমার ছুটো বইন নাচতে ফারে,আমার ছোট বোন নাচতে পারে,আমার ছোট বোন নাচত পারের,আমার সোনা বোন নাচন পারে,
আমার বন্ধু এইবার ছুটিতে রাজশাহী ঘুরতে যাবে,আমার বন্ধু এবার ছুটিতে রাজশাহী ফাকানিত যাইবো,আমার বন্ধু এইবার ছুটিতে রাজশাহী ঘুরতে যাইব,আমার বন্দু হিবার ছুটি্তে রাজশাহী গুরাত যাইবো,আমার বন্ধু এইবার ছুটিতে রাজশাহী ঘুরতে যাইব,আমার বন্ধু এবার ছুটিতে রাজশাহী ঘুরত যাইব,আমার বন্ধা এবার ছুটিত রাজশাহী ঘুরন যামু,
আমার বন্ধু যাকে ভালবাসে সে রাজশাহী থাকে,আমার বন্ধু যারে ভালা ফায় হে রাজশাহী থাকে,আমার বন্ধু যারে ভালবাসে সে রাজশাহী থাকে,আমার বন্দু জারে ভালা পায় হে রাজশাহী থাখে,আমার বন্ধু যারে ভালবাসে সে রাজশাহী থাকে,আমার বন্ধু যারে ভালাবায় সেগা রাজশাহীত থাকেগা,"আমার বন্ধা জারে ভালবাসে, ও রাজশাহীত থাকে",
মেয়েটি রাজশাহী থেকে আমার বড় ভাইয়ের সাথে দেখা করতে এসেছিল,ফুড়িটা রাজশাহী থাকি আমার বড় ভাইয়র লগে দেখা করাত আইছলা,মেয়াডা রাজশাহী থেইকা আমার বড় ভাইর লগে দেখা করবার আসছিল,ফুড়িটায় রাজশাহী থাকি আমার বড় ভাইর লগে দেখা করাত আইছিল,মেয়াডা রাজশাহী থেইকা আমার বড় ভাইর লগে দেখা করবার আসছিল,ফুড়িটায় রাজশাহী তেকা আমার বড় ভাইর লগে দেখা করাত আইছিল,মাইয়া রাজশাহী থেইকা আমার বরা ভাইর লগে দেখা করন আইছিল,
মেয়েটি এখন সিলেট যাবে,ফুড়িটা এখইন সিলট যাইবা,মেয়াডা এখন সিলট যাইব,ফুড়িটায় এখন সিলেট যাইবো,মেয়াডা এখন সিলট যাইব,ফুড়িটায় এখন সিলট যাইব,মাইয়া এহন সিলট যামু,
আমার বড় ভাই এখন তাঁর বন্ধুদের সাথে সিগারেট খায় না,আমার বড় ভাই এখইন হের বন্ধুদের লগে সিগারেট খায় না,আমার বড় ভাই এখন উনার বন্ধুদের লগে সিগারেট খায় না,আমার বড় ভাই এখন তাইর বন্ধুবান্ধবর লগে সিগারেট খায় নি,আমার বড় ভাই এখন উনার বন্ধুদের লগে সিগারেট খায় না,আমার বড় ভাই এখন তাগো বন্ধুগোর লগে সিগারেট খায় নায়,আমার বরা ভাই এহন উনার বন্ধাগো লগে সিগারেট খায় না,
আপনি কি আমাকে আগে কোনদিন দেখেছেন ?,আফনে কিতা আমারে আগে কোনোদিন দেখছিলানি,আপনে কি আমারে আগের কুনদিন দেখছেন?,আফনে কিতা আমারে এর আগে কুনদিন দেখছেন নি?,আপনে কি আমারে আগের কুনদিন দেখছেন?,আপনি কিতা মোরে আগে কুনদিন দেখছেন?,আপনে মইক আগে কেদিনও দেহছেন?,
আপনি কি আমাকে চিনতে পেরেছেন?,আফনে কিতা আমারে চিনইন নি,আপনে কি আমারে চিনবার পারছেন?,আফনে কিতা আমারে চিনতে পারছেন নি?,আপনে কি আমারে চিনবার পারছেন?,আপনি কিতা মোরে চিনত পইরছেন?,আপনে মইক চিনতে পারছেন?,
ছেলেটি আমাকে চিনতে পারল না,ফুয়াটায় আমারে চিনতে ফারলো না,পোলাডা আমারে চিনবার পারল না,ফুয়াটায় আমারে চিনতে পারি নি,পোলাডা আমারে চিনবার পারল না,ফুয়াটায় মোরে চিনত পারল নায়,ফুয়া মইক চিনতে পারল না,
মেয়েটি তোমাকে চিনতে পারল না,ফুড়িটায় তোমারে চিনতে ফারলো না,মেয়াডা তোকে চিনবার পারল না,ফুড়িটায় তুমারে চিনতে পারি নি,মেয়াডা তোকে চিনবার পারল না,ফুড়িটায় তোরে চিনত পারল নায়,মাইয়া তুঁইক চিনতে পারল না,
আমার এখন পড়ালেখা করা উচিত,আমার এখইন ফড়ালেখা করা উচিৎ,আমার এখন পড়ালেখা করবার দরকার,আমার এখন পড়ালেখা খরা উচিত,আমার এখন পড়ালেখা করবার দরকার,আমার এখন পইড়া-লেখা করন দরকার,আমার এহন পড়ালেখা করন উচিত,
অনেক রাত হয়েছে এখন আমার ছোট বোন ঘুমাতে যাবে,অনেক রাইত অইছে এখইন আমার ছোট বোইন ঘুমাইতে যাইবো,অনেক রাত হইছে এখন আমার ছোট বোন ঘুমাইতে যাইব,বাক্কা রাইত অইছে এখন আমার ছুটো বইন গুমাইতে যাইবো,অনেক রাত হইছে এখন আমার ছোট বোন ঘুমাইতে যাইব,অনেক রাত অইছে এখন আমার ছোট বোন ঘুমাইত যাইব,"বহুত রাত অইছে, এহন আমার সোনা বোন ঘুমাইতে যামু",
আমাকে পরিক্ষার আগে সব কিছু নিয়ে পড়ালেখা করতে হবে,আমাকে পরিক্ষার আগে হকল কিছু নিয়া ফড়ালেখা করত অইবো,আমারে পরিক্ষার আগে সব কিছু লইয়া পড়ালেখা করবার লাগি,আমারে পরিক্ষার আগে হখল কুনতা লইয়া পড়ালেখা খরা লাগবো,আমারে পরিক্ষার আগে সব কিছু লইয়া পড়ালেখা করবার লাগি,মোরে পরিক্ষার আগেই সবকিছু লইয়া পইড়া-লেখা করত অইব,মইক পরিক্ষার আগেই সবকিছুর লগে পড়ালেখা করন লাগবো,
আমার ছোট ভাই বিদ্যালয়ে গিয়ে বন্ধুদের সাথে গল্প করে,আমার ছোট ভাই বিদ্যালয় গিয়া বন্ধুদের লগে গল্প করইন,আমার ছোট ভাই স্কুলে গিয়া বন্ধুদের লগে গল্প করে,আমার ছুটো ভাই ইস্কুল গিয়া বন্ধুবান্ধবর লগে গফ খরে,আমার ছোট ভাই স্কুলে গিয়া বন্ধুদের লগে গল্প করে,আমার ছোট ভাই স্কুলে গিয়া বন্ধুগোর লগে গল্প করে,আমার সোনা ভাই স্কুলত গিয়া বন্ধাগো লগে গল্প করে,
আমার বন্ধু বিদ্যালয়ের মাঠে প্রতিদিন ক্রিকেট খেলে,আমার বন্ধু বিদ্যালয়ের মাঠো ফতিদিন ক্রিকেট খেলইন,আমার বন্ধু স্কুলের মাঠে প্রতিদিন ক্রিকেট খেলে,আমার বন্দু ইস্কুলর মাঠো ফত্তেকদিন ক্রিকেট খেলায়,আমার বন্ধু স্কুলের মাঠে প্রতিদিন ক্রিকেট খেলে,আমার বন্ধু স্কুলর মাঠে প্রতিদিন ক্রিকেট খেলে,আমার বন্ধা স্কুলর মাঠত রোজ ক্রিকেট খেলে,
